#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-2E234174798AA504-16A57280EAFA4661
#datatype	hitsFull Results
#status	0
#Start time	2021-08-15T00:37:16	Run time	0:00:00:46
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#80 - >rhey:FEE42_11180 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	47	230	0.00134846	39.7188	cl40640	A-2_8-polyST superfamily	C	 - 
Q#81 - >ooi:A6A10_06425 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	281	7.84521e-56	181.857	pfam07922	Glyco_transf_52	 - 	cl40640
Q#81 - >ooi:A6A10_06425 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	281	7.84521e-56	181.857	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#82 - >fcl:A4G17_09115 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	281	4.16316e-57	185.324	pfam07922	Glyco_transf_52	 - 	cl40640
Q#82 - >fcl:A4G17_09115 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	281	4.16316e-57	185.324	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#83 - >par:Psyc_0663 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) possible alpha-2,3-sialyltransferase (A)	non-specific	400326	86	295	1.01972e-07	52.0452	pfam07922	Glyco_transf_52	 - 	cl40640
Q#83 - >par:Psyc_0663 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) possible alpha-2,3-sialyltransferase (A)	superfamily	424271	86	295	1.01972e-07	52.0452	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#84 - >psyc:DABAL43B_0737 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lsgB; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	33	281	3.38828e-32	120.611	pfam07922	Glyco_transf_52	 - 	cl40640
Q#84 - >psyc:DABAL43B_0737 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lsgB; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	33	281	3.38828e-32	120.611	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#85 - >abm:ABSDF0075 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) conserved hypothetical protein; putative polysaccharide biosynthesis protein (A)	non-specific	400326	45	301	3.74224e-28	110.21	pfam07922	Glyco_transf_52	 - 	cl40640
Q#85 - >abm:ABSDF0075 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) conserved hypothetical protein; putative polysaccharide biosynthesis protein (A)	superfamily	424271	45	301	3.74224e-28	110.21	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#86 - >abx:ABK1_0093 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) putative polysaccharide biosynthesis protein (A)	non-specific	400326	25	286	1.84888e-24	99.8099	pfam07922	Glyco_transf_52	 - 	cl40640
Q#86 - >abx:ABK1_0093 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) putative polysaccharide biosynthesis protein (A)	superfamily	424271	25	286	1.84888e-24	99.8099	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#87 - >abz:ABZJ_04255 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	30	297	3.24563e-27	107.514	pfam07922	Glyco_transf_52	 - 	cl40640
Q#87 - >abz:ABZJ_04255 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	30	297	3.24563e-27	107.514	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#88 - >abd:ABTW07_0091 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	50	300	1.10822e-28	111.366	pfam07922	Glyco_transf_52	 - 	cl40640
Q#88 - >abd:ABTW07_0091 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	50	300	1.10822e-28	111.366	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#89 - >abab:BJAB0715_00102 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	30	297	2.48273e-27	107.514	pfam07922	Glyco_transf_52	 - 	cl40640
Q#89 - >abab:BJAB0715_00102 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	30	297	2.48273e-27	107.514	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#90 - >abaj:BJAB0868_00101 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	38	288	4.86137e-28	109.44	pfam07922	Glyco_transf_52	 - 	cl40640
Q#90 - >abaj:BJAB0868_00101 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	38	288	4.86137e-28	109.44	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#91 - >adv:DJ533_18095 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	36	286	1.69702e-32	121.381	pfam07922	Glyco_transf_52	 - 	cl40640
Q#91 - >adv:DJ533_18095 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	36	286	1.69702e-32	121.381	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#92 - >atn:FM020_15580 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	32	267	5.17281e-23	95.5727	pfam07922	Glyco_transf_52	 - 	cl40640
Q#92 - >atn:FM020_15580 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	32	267	5.17281e-23	95.5727	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#93 - >mos:AXE82_03490 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	38	298	6.87535e-37	133.322	pfam07922	Glyco_transf_52	 - 	cl40640
Q#93 - >mos:AXE82_03490 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	38	298	6.87535e-37	133.322	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#94 - >prr:AT705_09980 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	28	280	1.45766e-14	72.0756	pfam07922	Glyco_transf_52	 - 	cl40640
Q#94 - >prr:AT705_09980 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	28	280	1.45766e-14	72.0756	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#95 - >marj:MARI_04500 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	37	289	2.34646e-18	83.2463	pfam07922	Glyco_transf_52	 - 	cl40640
Q#95 - >marj:MARI_04500 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	37	289	2.34646e-18	83.2463	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#96 - >nme:NMB0922 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) alpha-2,3-sialyltransferase (A)	specific	400326	74	342	4.53362e-106	312.44	pfam07922	Glyco_transf_52	 - 	cl40640
Q#96 - >nme:NMB0922 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) alpha-2,3-sialyltransferase (A)	superfamily	424271	74	342	4.53362e-106	312.44	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#97 - >nmp:NMBB_1035 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	specific	400326	85	353	1.06384e-106	314.366	pfam07922	Glyco_transf_52	 - 	cl40640
Q#97 - >nmp:NMBB_1035 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	85	353	1.06384e-106	314.366	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#98 - >nmh:NMBH4476_1249 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha -2,3-sialyltransferase (A)	specific	400326	74	342	4.53362e-106	312.44	pfam07922	Glyco_transf_52	 - 	cl40640
Q#98 - >nmh:NMBH4476_1249 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha -2,3-sialyltransferase (A)	superfamily	424271	74	342	4.53362e-106	312.44	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#99 - >nmd:NMBG2136_0894 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha -2,3-sialyltransferase (A)	specific	400326	74	342	5.00067e-106	312.44	pfam07922	Glyco_transf_52	 - 	cl40640
Q#99 - >nmd:NMBG2136_0894 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha -2,3-sialyltransferase (A)	superfamily	424271	74	342	5.00067e-106	312.44	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#100 - >nmm:NMBM01240149_1165 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha -2,3-sialyltransferase (A)	specific	400326	74	342	3.01746e-108	318.218	pfam07922	Glyco_transf_52	 - 	cl40640
Q#100 - >nmm:NMBM01240149_1165 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha -2,3-sialyltransferase (A)	superfamily	424271	74	342	3.01746e-108	318.218	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#101 - >nms:NMBM01240355_0921 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha -2,3-sialyltransferase (A)	specific	400326	74	342	2.20002e-107	316.292	pfam07922	Glyco_transf_52	 - 	cl40640
Q#101 - >nms:NMBM01240355_0921 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha -2,3-sialyltransferase (A)	superfamily	424271	74	342	2.20002e-107	316.292	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#102 - >nmq:NMBM04240196_1238 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	specific	400326	74	342	5.1626e-109	320.144	pfam07922	Glyco_transf_52	 - 	cl40640
Q#102 - >nmq:NMBM04240196_1238 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	74	342	5.1626e-109	320.144	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#103 - >nmz:NMBNZ0533_0973 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	specific	400326	74	342	3.01746e-108	318.218	pfam07922	Glyco_transf_52	 - 	cl40640
Q#103 - >nmz:NMBNZ0533_0973 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	74	342	3.01746e-108	318.218	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#104 - >nma:NMA1118 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	specific	400326	74	342	8.77915e-108	317.062	pfam07922	Glyco_transf_52	 - 	cl40640
Q#104 - >nma:NMA1118 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	74	342	8.77915e-108	317.062	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#105 - >nmw:NMAA_0721 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; K00785beta-galactosamide-alpha-2,3-sialyltransferase (A)	specific	400326	85	353	1.48138e-107	316.677	pfam07922	Glyco_transf_52	 - 	cl40640
Q#105 - >nmw:NMAA_0721 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; K00785beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	85	353	1.48138e-107	316.677	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#106 - >nmx:NMA510612_1244 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) ist; beta-galactosamide-alpha-2,3-sialyltransferase (A)	specific	400326	74	342	1.40266e-107	316.292	pfam07922	Glyco_transf_52	 - 	cl40640
Q#106 - >nmx:NMA510612_1244 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) ist; beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	74	342	1.40266e-107	316.292	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#107 - >nmc:NMC0899 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	specific	400326	74	342	1.36763e-106	313.981	pfam07922	Glyco_transf_52	 - 	cl40640
Q#107 - >nmc:NMC0899 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	74	342	1.36763e-106	313.981	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#108 - >nmn:NMCC_0863 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	specific	400326	85	353	2.73756e-108	318.603	pfam07922	Glyco_transf_52	 - 	cl40640
Q#108 - >nmn:NMCC_0863 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	85	353	2.73756e-108	318.603	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#109 - >nmt:NMV_1474 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (beta-galactoside alpha-2,3-sialyltransferase; alpha 2,3-ST: lipooligosaccharide sialyltransferase) (A)	specific	400326	74	342	3.55333e-108	317.833	pfam07922	Glyco_transf_52	 - 	cl40640
Q#109 - >nmt:NMV_1474 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (beta-galactoside alpha-2,3-sialyltransferase; alpha 2,3-ST: lipooligosaccharide sialyltransferase) (A)	superfamily	424271	74	342	3.55333e-108	317.833	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#110 - >nmi:NMO_0817 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) Ist; alpha-2,3-sialyltransferase (A)	specific	400326	85	353	4.14141e-108	318.218	pfam07922	Glyco_transf_52	 - 	cl40640
Q#110 - >nmi:NMO_0817 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) Ist; alpha-2,3-sialyltransferase (A)	superfamily	424271	85	353	4.14141e-108	318.218	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#111 - >ngo:NGO1081 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (RefSeq) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	specific	400326	74	342	5.51483e-108	317.833	pfam07922	Glyco_transf_52	 - 	cl40640
Q#111 - >ngo:NGO1081 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (RefSeq) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	74	342	5.51483e-108	317.833	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#112 - >ngk:NGK_0687 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) Lst (A)	specific	400326	74	342	5.55356e-107	315.136	pfam07922	Glyco_transf_52	 - 	cl40640
Q#112 - >ngk:NGK_0687 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) Lst (A)	superfamily	424271	74	342	5.55356e-107	315.136	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#113 - >nla:NLA_13410 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alph a-2,3-sialyltransferase (A)	specific	400326	74	342	1.31313e-106	313.981	pfam07922	Glyco_transf_52	 - 	cl40640
Q#113 - >nla:NLA_13410 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alph a-2,3-sialyltransferase (A)	superfamily	424271	74	342	1.31313e-106	313.981	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#114 - >nwe:SAMEA3174300_1365 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	283	1.64661e-24	100.195	pfam07922	Glyco_transf_52	 - 	cl40640
Q#114 - >nwe:SAMEA3174300_1365 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	283	1.64661e-24	100.195	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#115 - >kki:KKKWG1_0857 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) Alpha-2,3-sialyltransferase (A)	non-specific	400326	28	290	1.19438e-42	147.96	pfam07922	Glyco_transf_52	 - 	cl40640
Q#115 - >kki:KKKWG1_0857 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) Alpha-2,3-sialyltransferase (A)	superfamily	424271	28	290	1.19438e-42	147.96	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#116 - >koa:H3L93_03835 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) alpha-2,3-sialyltransferase (A)	non-specific	400326	39	286	1.7712e-38	137.174	pfam07922	Glyco_transf_52	 - 	cl40640
Q#116 - >koa:H3L93_03835 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) alpha-2,3-sialyltransferase (A)	superfamily	424271	39	286	1.7712e-38	137.174	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#117 - >ecor:SAMEA4412678_0506 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	28	334	2.91566e-35	129.855	pfam07922	Glyco_transf_52	 - 	cl40640
Q#117 - >ecor:SAMEA4412678_0506 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	28	334	2.91566e-35	129.855	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#118 - >eex:EZJ17_07805 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) alpha-2,3-sialyltransferase (A)	non-specific	400326	90	334	1.98766e-34	127.544	pfam07922	Glyco_transf_52	N	cl40640
Q#118 - >eex:EZJ17_07805 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) alpha-2,3-sialyltransferase (A)	superfamily	424271	90	334	1.98766e-34	127.544	cl40640	A-2_8-polyST superfamily	N	 - 
Q#119 - >smur:BWP33_01870 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	26	282	3.99212e-30	115.218	pfam07922	Glyco_transf_52	 - 	cl40640
Q#119 - >smur:BWP33_01870 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	26	282	3.99212e-30	115.218	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#120 - >smur:BWP33_01915 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) alpha-2,3-sialyltransferase (A)	non-specific	400326	39	290	1.12957e-39	140.256	pfam07922	Glyco_transf_52	 - 	cl40640
Q#120 - >smur:BWP33_01915 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) alpha-2,3-sialyltransferase (A)	superfamily	424271	39	290	1.12957e-39	140.256	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#121 - >aff:H3L97_09975 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) alpha-2,3-sialyltransferase (A)	non-specific	400326	40	291	4.93979e-35	127.929	pfam07922	Glyco_transf_52	 - 	cl40640
Q#121 - >aff:H3L97_09975 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) alpha-2,3-sialyltransferase (A)	superfamily	424271	40	291	4.93979e-35	127.929	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#122 - >cste:H3L98_05405 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	29	285	9.13803e-34	124.463	pfam07922	Glyco_transf_52	 - 	cl40640
Q#122 - >cste:H3L98_05405 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	29	285	9.13803e-34	124.463	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#123 - >bpsi:IX83_02850 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	43	229	1.02835e-15	74.0016	pfam07922	Glyco_transf_52	C	cl40640
Q#123 - >bpsi:IX83_02850 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	43	229	1.02835e-15	74.0016	cl40640	A-2_8-polyST superfamily	C	 - 
Q#123 - >bpsi:IX83_02850 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	396237	77	141	0.000409441	39.995	pfam01564	Spermine_synth	N	cl17173
Q#123 - >bpsi:IX83_02850 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	418430	77	141	0.000409441	39.995	cl17173	AdoMet_MTases superfamily	N	 - 
Q#124 - >atw:C0099_02415 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	36	300	1.50736e-12	66.6828	pfam07922	Glyco_transf_52	 - 	cl40640
Q#124 - >atw:C0099_02415 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	36	300	1.50736e-12	66.6828	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#124 - >atw:C0099_02415 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	399987	5	237	9.80234e-06	46.3879	pfam07388	A-2_8-polyST	 - 	cl40640
Q#125 - >mhey:H2LOC_005765 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	45	275	6.90969e-14	70.1496	pfam07922	Glyco_transf_52	 - 	cl40640
Q#125 - >mhey:H2LOC_005765 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	45	275	6.90969e-14	70.1496	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#125 - >mhey:H2LOC_005765 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	399987	5	272	1.98986e-05	45.6175	pfam07388	A-2_8-polyST	 - 	cl40640
